Arizona Diamondbacks	1819	914	905	62131	1933	0.26
Atlanta Braves	19764	9786	9825	677310	12203	0.26
Baltimore Orioles	16861	7965	8786	572146	11335	0.259
Boston Red Sox	16848	8657	8108	575510	11671	0.267
Chicago Cubs	19796	10103	9537	678492	12479	0.264
Chicago White Sox	16855	8476	8276	570404	9662	0.261
Cincinnati Reds	19382	9766	9480	661241	11533	0.262
Cleveland Indians	16863	8571	8201	575356	11338	0.267
Colorado Rockies	2565	1203	1362	88540	2944	0.279
Detroit Tigers	16885	8497	8295	575699	12050	0.265
Florida Marlins	2561	1214	1347	87282	2392	0.261
Houston Astros	7526	3754	3766	255339	5533	0.255
Kansas City Royals	6380	3097	3281	218508	4777	0.265
Los Angeles Angels of Anaheim	7684	3808	3873	260842	6374	0.258
Los Angeles Dodgers	19185	9985	9063	654177	11154	0.262
Milwaukee Brewers	6387	3031	3352	217387	5794	0.259
Minnesota Twins	16869	8069	8691	575390	9232	0.264
New York Mets	7518	3606	3904	254460	5941	0.25
New York Yankees	16836	9491	7252	574293	13914	0.268
Oakland Athletics	16818	8127	8604	570335	11408	0.259
Philadelphia Phillies	19190	8964	10114	657092	11457	0.262
Pittsburgh Pirates	19343	9706	9501	663975	9970	0.265
San Diego Padres	6393	2948	3443	216951	4799	0.252
San Francisco Giants	19263	10274	8832	657818	13262	0.265
Seattle Mariners	5098	2393	2703	174802	4967	0.265
St. Louis Cardinals	19387	9950	9286	665624	10504	0.267
Tampa Bay Rays	1817	760	1057	62386	1713	0.262
Texas Rangers	7671	3592	4073	262238	7249	0.259
Toronto Blue Jays	5101	2539	2559	175373	5018	0.264
Washington Nationals	6385	3050	3330	216094	4946	0.254
